name,distance,geocodes.drop_off.latitude,geocodes.drop_off.longitude,location,location.address
Rogue Kitchen & Wetbar,250,49.263262,-123.11765,0,602W Broadway W
33 Acres Brewing Co,674,,,0,15 8th Ave W
The Cascade Room,984,,,0,2616 Main St
Biercraft Bistro,744,,,0,3305 Cambie St
Faculty Brewing Co,994,49.268561,-123.104665,0,1830 Ontario St
Fox Cabaret,965,,,0,2321 Main St
The Wicklow Pub,760,,,0,610 Stamp's Landng
Tocador,996,,,0,2610 Main St
Vancouver Hackspace,820,,,0,1715 Cook St
Mahony & Sons,811,,,0,610 Stamp's Landng
